customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,predicted_purchases_90d,prob_alive,clv_90d,clv_180d,clv_365d,age,product_type,acquisition_channel
cust_0002,21,328,7061.37,5,2,2,5-2-2,Potential Loyal,0.0,0.0,0.0,0.0,0.0,44,Loan,Branch
cust_0003,285,70,16426.88,1,1,5,1-1-5,Hibernating,19.125,0.925,311783.81,602735.28,1219262.11,30,Credit Card,Web
cust_0005,93,740,6093.16,3,4,2,3-4-2,Loyal,0.0,0.0,0.0,0.0,0.0,23,Savings Account,Mobile App
cust_0009,252,244,12386.14,1,2,4,1-2-4,Hibernating,0.0,0.0,0.0,0.0,0.0,38,Loan,Branch
cust_0012,112,771,13358.32,3,4,4,3-4-4,Loyal,0.0,0.0,0.0,0.0,0.0,39,Investment,Referral
cust_0015,315,203,16435.99,1,1,5,1-1-5,Hibernating,0.032,0.001,526.21,1019.06,2067.11,55,Savings Account,Mobile App
cust_0016,168,645,899.93,2,4,1,2-4-1,At Risk,0.0,0.0,0.0,0.0,0.0,39,Savings Account,Mobile App
cust_0017,96,593,19123.75,3,3,5,3-3-5,Loyal,0.0,0.0,0.0,0.0,0.0,18,Credit Card,Web
cust_0019,38,532,5805.01,5,3,2,5-3-2,Loyal,0.0,0.0,0.0,0.0,0.0,68,Savings Account,Mobile App
cust_0020,288,910,10641.11,1,5,3,1-5-3,At Risk,0.0,0.0,0.0,0.0,0.0,17,Loan,Web
cust_0024,56,183,10003.29,4,1,3,4-1-3,Potential Loyal,0.0,0.0,0.0,0.0,0.0,53,Credit Card,Web
cust_0027,120,871,782.88,3,5,1,3-5-1,Loyal,0.0,0.0,0.0,0.0,0.0,48,Credit Card,Web
cust_0028,11,323,2746.66,5,2,1,5-2-1,Potential Loyal,0.0,0.0,0.0,0.0,0.0,27,Credit Card,Web
cust_0031,34,621,12307.36,5,4,4,5-4-4,Champions,0.0,0.0,0.0,0.0,0.0,40,Savings Account,Mobile App
cust_0032,204,924,9123.23,2,5,3,2-5-3,At Risk,0.0,0.0,0.0,0.0,0.0,64,Savings Account,Mobile App
cust_0034,154,929,706.97,2,5,1,2-5-1,At Risk,0.0,0.0,0.0,0.0,0.0,57,Insurance,Agent
cust_0036,167,282,7068.09,2,2,2,2-2-2,Lost,0.0,0.0,0.0,0.0,0.0,31,Savings Account,Mobile App
cust_0037,185,59,442.15,2,1,1,2-1-1,Lost,0.0,0.0,0.0,0.0,0.01,30,Savings Account,Mobile App
cust_0039,113,422,7219.79,3,3,2,3-3-2,Loyal,0.0,0.0,0.0,0.0,0.0,66,Credit Card,Mobile App
cust_0040,144,555,11113.27,2,3,3,2-3-3,At Risk,0.0,0.0,0.0,0.0,0.0,59,Savings Account,Mobile App
cust_0044,191,530,5568.29,2,3,2,2-3-2,At Risk,0.0,0.0,0.0,0.0,0.0,66,Savings Account,Mobile App
cust_0045,286,90,291.53,1,1,1,1-1-1,Lost,0.0,0.0,0.08,0.15,0.31,22,Loan,Web
cust_0046,182,300,2409.06,2,2,1,2-2-1,Lost,0.0,0.0,0.0,0.0,0.0,36,Savings Account,Mobile App
cust_0050,81,733,3364.95,4,4,1,4-4-1,Loyal,0.0,0.0,0.0,0.0,0.0,19,Insurance,Agent
cust_0053,49,922,6449.42,4,5,2,4-5-2,Loyal,0.0,0.0,0.0,0.0,0.0,65,Investment,Referral
cust_0055,55,455,11275.4,4,3,3,4-3-3,Loyal,0.0,0.0,0.0,0.0,0.0,41,Insurance,Agent
cust_0057,67,808,7729.88,4,5,2,4-5-2,Loyal,0.0,0.0,0.0,0.0,0.0,17,Savings Account,Mobile App
cust_0058,115,537,1232.99,3,3,1,3-3-1,Loyal,0.0,0.0,0.0,0.0,0.0,35,Savings Account,Mobile App
cust_0059,112,27,7494.64,3,1,2,3-1-2,Potential Loyal,0.0,0.0,0.0,0.0,0.0,43,Savings Account,Mobile App
cust_0060,159,575,4154.18,2,3,2,2-3-2,At Risk,0.0,0.0,0.0,0.0,0.0,62,Credit Card,Mobile App
cust_0062,26,222,13948.51,5,2,4,5-2-4,Potential Loyal,0.0,0.0,0.0,0.0,0.0,59,Investment,Referral
cust_0063,110,79,1026.14,3,1,1,3-1-1,Potential Loyal,0.0,0.0,0.0,0.0,0.0,23,Credit Card,Mobile App
cust_0064,66,562,5866.84,4,3,2,4-3-2,Loyal,0.0,0.0,0.0,0.0,0.0,62,Savings Account,Mobile App
cust_0066,101,613,16602.03,3,4,5,3-4-5,Loyal,0.0,0.0,0.0,0.0,0.0,29,Savings Account,Mobile App
cust_0067,206,175,18126.87,2,1,5,2-1-5,Hibernating,0.0,0.0,1.98,3.8,7.63,32,Investment,Branch
cust_0068,1,521,2254.47,5,3,1,5-3-1,Loyal,0.0,0.0,0.0,0.0,0.0,51,Savings Account,Mobile App
cust_0070,70,456,18638.35,4,3,5,4-3-5,Loyal,0.0,0.0,0.0,0.0,0.0,55,Loan,Branch
cust_0072,215,99,5845.15,1,1,2,1-1-2,Lost,22.691,0.598,131317.01,252544.8,506946.77,17,Savings Account,Mobile App
cust_0074,142,739,610.87,2,4,1,2-4-1,At Risk,0.0,0.0,0.0,0.0,0.0,69,Loan,Branch
